Place,Category,SubCategory,Year,Amount
Almería,COLLECTIVE SAFETY,Road Safety,2011,1523
Almería,COLLECTIVE SAFETY,Road Safety,2010,1399
Araba,COLLECTIVE SAFETY,Road Safety,2022,239
Araba,COLLECTIVE SAFETY,Road Safety,2020,139
Araba,COLLECTIVE SAFETY,Road Safety,2019,175
Araba,COLLECTIVE SAFETY,Road Safety,2018,225
Araba,COLLECTIVE SAFETY,Road Safety,2017,170
Araba,COLLECTIVE SAFETY,Road Safety,2016,160
Araba,COLLECTIVE SAFETY,Road Safety,2015,155
Araba,COLLECTIVE SAFETY,Road Safety,2014,168
Araba,COLLECTIVE SAFETY,Road Safety,2013,190
Araba,COLLECTIVE SAFETY,Road Safety,2012,262
Araba,COLLECTIVE SAFETY,Road Safety,2011,244
Araba,COLLECTIVE SAFETY,Road Safety,2010,226
Araba,COLLECTIVE SAFETY,Road Safety,2021,203
Asturias,COLLECTIVE SAFETY,Road Safety,2022,859
Asturias,COLLECTIVE SAFETY,Road Safety,2020,688
Asturias,COLLECTIVE SAFETY,Road Safety,2019,948
Asturias,COLLECTIVE SAFETY,Road Safety,2018,865
Asturias,COLLECTIVE SAFETY,Road Safety,2017,860
Asturias,COLLECTIVE SAFETY,Road Safety,2016,946
Asturias,COLLECTIVE SAFETY,Road Safety,2015,924
Asturias,COLLECTIVE SAFETY,Road Safety,2014,1105
Asturias,COLLECTIVE SAFETY,Road Safety,2013,1219
Asturias,COLLECTIVE SAFETY,Road Safety,2012,1295
Asturias,COLLECTIVE SAFETY,Road Safety,2011,1300
Asturias,COLLECTIVE SAFETY,Road Safety,2010,994
Asturias,COLLECTIVE SAFETY,Road Safety,2021,855
Ávila,COLLECTIVE SAFETY,Road Safety,2022,198
Ávila,COLLECTIVE SAFETY,Road Safety,2020,163
Ávila,COLLECTIVE SAFETY,Road Safety,2019,186
Ávila,COLLECTIVE SAFETY,Road Safety,2018,176
Ávila,COLLECTIVE SAFETY,Road Safety,2017,158
Ávila,COLLECTIVE SAFETY,Road Safety,2016,168
Ávila,COLLECTIVE SAFETY,Road Safety,2015,180
Ávila,COLLECTIVE SAFETY,Road Safety,2014,217
Ávila,COLLECTIVE SAFETY,Road Safety,2013,218
Ávila,COLLECTIVE SAFETY,Road Safety,2012,286
Ávila,COLLECTIVE SAFETY,Road Safety,2011,326
Ávila,COLLECTIVE SAFETY,Road Safety,2010,237
Ávila,COLLECTIVE SAFETY,Road Safety,2021,196
Badajoz,COLLECTIVE SAFETY,Road Safety,2022,468
Badajoz,COLLECTIVE SAFETY,Road Safety,2020,401
Badajoz,COLLECTIVE SAFETY,Road Safety,2019,502
Badajoz,COLLECTIVE SAFETY,Road Safety,2018,480
Badajoz,COLLECTIVE SAFETY,Road Safety,2017,413
Badajoz,COLLECTIVE SAFETY,Road Safety,2016,381
Badajoz,COLLECTIVE SAFETY,Road Safety,2015,443
Badajoz,COLLECTIVE SAFETY,Road Safety,2014,443
Badajoz,COLLECTIVE SAFETY,Road Safety,2013,543
Badajoz,COLLECTIVE SAFETY,Road Safety,2012,695
Badajoz,COLLECTIVE SAFETY,Road Safety,2011,852
Badajoz,COLLECTIVE SAFETY,Road Safety,2010,764
Badajoz,COLLECTIVE SAFETY,Road Safety,2021,470
Balears,COLLECTIVE SAFETY,Road Safety,2022,1692
Balears,COLLECTIVE SAFETY,Road Safety,2020,1637
Balears,COLLECTIVE SAFETY,Road Safety,2019,2051
Balears,COLLECTIVE SAFETY,Road Safety,2018,1997
Balears,COLLECTIVE SAFETY,Road Safety,2017,1973
Balears,COLLECTIVE SAFETY,Road Safety,2016,1764
Balears,COLLECTIVE SAFETY,Road Safety,2015,2017
Balears,COLLECTIVE SAFETY,Road Safety,2014,2154
Balears,COLLECTIVE SAFETY,Road Safety,2013,2413
Balears,COLLECTIVE SAFETY,Road Safety,2012,2421
Balears,COLLECTIVE SAFETY,Road Safety,2011,1988
Balears,COLLECTIVE SAFETY,Road Safety,2010,1638
Balears,COLLECTIVE SAFETY,Road Safety,2021,1532
Barcelona,COLLECTIVE SAFETY,Road Safety,2022,3483
Barcelona,COLLECTIVE SAFETY,Road Safety,2020,2480
Barcelona,COLLECTIVE SAFETY,Road Safety,2019,3183
Barcelona,COLLECTIVE SAFETY,Road Safety,2018,3222
Barcelona,COLLECTIVE SAFETY,Road Safety,2017,2989
Barcelona,COLLECTIVE SAFETY,Road Safety,2016,2946
Barcelona,COLLECTIVE SAFETY,Road Safety,2015,2849
Barcelona,COLLECTIVE SAFETY,Road Safety,2014,2893
Barcelona,COLLECTIVE SAFETY,Road Safety,2013,3051
Barcelona,COLLECTIVE SAFETY,Road Safety,2012,3003
Barcelona,COLLECTIVE SAFETY,Road Safety,2011,4881
Barcelona,COLLECTIVE SAFETY,Road Safety,2010,4448
Barcelona,COLLECTIVE SAFETY,Road Safety,2021,3236
Bizkaia,COLLECTIVE SAFETY,Road Safety,2022,1352
Bizkaia,COLLECTIVE SAFETY,Road Safety,2020,835
Bizkaia,COLLECTIVE SAFETY,Road Safety,2019,1020
Bizkaia,COLLECTIVE SAFETY,Road Safety,2018,990
Bizkaia,COLLECTIVE SAFETY,Road Safety,2017,917
Bizkaia,COLLECTIVE SAFETY,Road Safety,2016,858
Bizkaia,COLLECTIVE SAFETY,Road Safety,2015,890
Bizkaia,COLLECTIVE SAFETY,Road Safety,2014,979
Bizkaia,COLLECTIVE SAFETY,Road Safety,2013,1152
Bizkaia,COLLECTIVE SAFETY,Road Safety,2012,1300
Bizkaia,COLLECTIVE SAFETY,Road Safety,2011,1378
Bizkaia,COLLECTIVE SAFETY,Road Safety,2010,1213
Bizkaia,COLLECTIVE SAFETY,Road Safety,2021,1151
Burgos,COLLECTIVE SAFETY,Road Safety,2022,333
Burgos,COLLECTIVE SAFETY,Road Safety,2020,228
Burgos,COLLECTIVE SAFETY,Road Safety,2019,299
Burgos,COLLECTIVE SAFETY,Road Safety,2018,253
Burgos,COLLECTIVE SAFETY,Road Safety,2017,235
Burgos,COLLECTIVE SAFETY,Road Safety,2016,253
Burgos,COLLECTIVE SAFETY,Road Safety,2015,275
Burgos,COLLECTIVE SAFETY,Road Safety,2014,309
Burgos,COLLECTIVE SAFETY,Road Safety,2013,358
Burgos,COLLECTIVE SAFETY,Road Safety,2012,451
Burgos,COLLECTIVE SAFETY,Road Safety,2011,482
Burgos,COLLECTIVE SAFETY,Road Safety,2010,420
Burgos,COLLECTIVE SAFETY,Road Safety,2021,325
Cáceres,COLLECTIVE SAFETY,Road Safety,2022,422
Cáceres,COLLECTIVE SAFETY,Road Safety,2020,289
Cáceres,COLLECTIVE SAFETY,Road Safety,2019,341
Cáceres,COLLECTIVE SAFETY,Road Safety,2018,354
Cáceres,COLLECTIVE SAFETY,Road Safety,2017,274
Cáceres,COLLECTIVE SAFETY,Road Safety,2016,279
Cáceres,COLLECTIVE SAFETY,Road Safety,2015,268
Cáceres,COLLECTIVE SAFETY,Road Safety,2014,310
Cáceres,COLLECTIVE SAFETY,Road Safety,2013,346
Cáceres,COLLECTIVE SAFETY,Road Safety,2012,458
Cáceres,COLLECTIVE SAFETY,Road Safety,2011,445
Cáceres,COLLECTIVE SAFETY,Road Safety,2010,433
Cáceres,COLLECTIVE SAFETY,Road Safety,2021,391
Cádiz,COLLECTIVE SAFETY,Road Safety,2022,1455
Cádiz,COLLECTIVE SAFETY,Road Safety,2020,1076
Cádiz,COLLECTIVE SAFETY,Road Safety,2019,1338
Cádiz,COLLECTIVE SAFETY,Road Safety,2018,1275
Cádiz,COLLECTIVE SAFETY,Road Safety,2017,1141
Cádiz,COLLECTIVE SAFETY,Road Safety,2016,1108
Cádiz,COLLECTIVE SAFETY,Road Safety,2015,1153
Cádiz,COLLECTIVE SAFETY,Road Safety,2014,1293
Cádiz,COLLECTIVE SAFETY,Road Safety,2013,1365
Cádiz,COLLECTIVE SAFETY,Road Safety,2012,1503
Cádiz,COLLECTIVE SAFETY,Road Safety,2011,1881
Cádiz,COLLECTIVE SAFETY,Road Safety,2010,1791
Cádiz,COLLECTIVE SAFETY,Road Safety,2021,1272
Cantabria,COLLECTIVE SAFETY,Road Safety,2022,772
Cantabria,COLLECTIVE SAFETY,Road Safety,2020,563
Cantabria,COLLECTIVE SAFETY,Road Safety,2019,622
Cantabria,COLLECTIVE SAFETY,Road Safety,2018,644
Cantabria,COLLECTIVE SAFETY,Road Safety,2017,602
Cantabria,COLLECTIVE SAFETY,Road Safety,2016,618
Cantabria,COLLECTIVE SAFETY,Road Safety,2015,628
Cantabria,COLLECTIVE SAFETY,Road Safety,2014,740
Cantabria,COLLECTIVE SAFETY,Road Safety,2013,769
Cantabria,COLLECTIVE SAFETY,Road Safety,2012,887
Cantabria,COLLECTIVE SAFETY,Road Safety,2011,981
Cantabria,COLLECTIVE SAFETY,Road Safety,2010,637
Cantabria,COLLECTIVE SAFETY,Road Safety,2021,660
Castellón,COLLECTIVE SAFETY,Road Safety,2022,675
Castellón,COLLECTIVE SAFETY,Road Safety,2020,548
Castellón,COLLECTIVE SAFETY,Road Safety,2019,667
Castellón,COLLECTIVE SAFETY,Road Safety,2018,711
Castellón,COLLECTIVE SAFETY,Road Safety,2017,650
Castellón,COLLECTIVE SAFETY,Road Safety,2016,659
Castellón,COLLECTIVE SAFETY,Road Safety,2015,829
Castellón,COLLECTIVE SAFETY,Road Safety,2014,854
Castellón,COLLECTIVE SAFETY,Road Safety,2013,931
Castellón,COLLECTIVE SAFETY,Road Safety,2012,744
Castellón,COLLECTIVE SAFETY,Road Safety,2011,808
Castellón,COLLECTIVE SAFETY,Road Safety,2010,688
Castellón,COLLECTIVE SAFETY,Road Safety,2021,747
Ceuta,COLLECTIVE SAFETY,Road Safety,2022,153
Ceuta,COLLECTIVE SAFETY,Road Safety,2020,133
Ceuta,COLLECTIVE SAFETY,Road Safety,2019,207
Ceuta,COLLECTIVE SAFETY,Road Safety,2018,215
Ceuta,COLLECTIVE SAFETY,Road Safety,2017,205
Ceuta,COLLECTIVE SAFETY,Road Safety,2016,189
Ceuta,COLLECTIVE SAFETY,Road Safety,2015,209
Ceuta,COLLECTIVE SAFETY,Road Safety,2014,256
Ceuta,COLLECTIVE SAFETY,Road Safety,2013,261
Ceuta,COLLECTIVE SAFETY,Road Safety,2012,378
Ceuta,COLLECTIVE SAFETY,Road Safety,2011,326
Ceuta,COLLECTIVE SAFETY,Road Safety,2010,263
Ceuta,COLLECTIVE SAFETY,Road Safety,2021,186
Ciudad Real,COLLECTIVE SAFETY,Road Safety,2022,595
Ciudad Real,COLLECTIVE SAFETY,Road Safety,2020,486
Ciudad Real,COLLECTIVE SAFETY,Road Safety,2019,647
Ciudad Real,COLLECTIVE SAFETY,Road Safety,2018,602
Ciudad Real,COLLECTIVE SAFETY,Road Safety,2017,535
Ciudad Real,COLLECTIVE SAFETY,Road Safety,2016,565
Ciudad Real,COLLECTIVE SAFETY,Road Safety,2015,575
Ciudad Real,COLLECTIVE SAFETY,Road Safety,2014,587
Ciudad Real,COLLECTIVE SAFETY,Road Safety,2013,676
Ciudad Real,COLLECTIVE SAFETY,Road Safety,2012,742
Ciudad Real,COLLECTIVE SAFETY,Road Safety,2011,677
Ciudad Real,COLLECTIVE SAFETY,Road Safety,2010,677
Ciudad Real,COLLECTIVE SAFETY,Road Safety,2021,547
Córdoba,COLLECTIVE SAFETY,Road Safety,2022,1219
Córdoba,COLLECTIVE SAFETY,Road Safety,2020,853
Córdoba,COLLECTIVE SAFETY,Road Safety,2019,1050
Córdoba,COLLECTIVE SAFETY,Road Safety,2018,939
Córdoba,COLLECTIVE SAFETY,Road Safety,2017,972
Córdoba,COLLECTIVE SAFETY,Road Safety,2016,917
Córdoba,COLLECTIVE SAFETY,Road Safety,2015,952
Córdoba,COLLECTIVE SAFETY,Road Safety,2014,1073
Córdoba,COLLECTIVE SAFETY,Road Safety,2013,1235
Córdoba,COLLECTIVE SAFETY,Road Safety,2012,1341
Córdoba,COLLECTIVE SAFETY,Road Safety,2011,1664
Córdoba,COLLECTIVE SAFETY,Road Safety,2010,1350
Córdoba,COLLECTIVE SAFETY,Road Safety,2021,1036
Coruña (A),COLLECTIVE SAFETY,Road Safety,2022,1943
Coruña (A),COLLECTIVE SAFETY,Road Safety,2020,1560
Coruña (A),COLLECTIVE SAFETY,Road Safety,2019,1737
Coruña (A),COLLECTIVE SAFETY,Road Safety,2018,1613
Coruña (A),COLLECTIVE SAFETY,Road Safety,2017,1547
Coruña (A),COLLECTIVE SAFETY,Road Safety,2016,1518
Coruña (A),COLLECTIVE SAFETY,Road Safety,2015,1613
Coruña (A),COLLECTIVE SAFETY,Road Safety,2014,1568
Coruña (A),COLLECTIVE SAFETY,Road Safety,2013,1486
Coruña (A),COLLECTIVE SAFETY,Road Safety,2012,1783
Coruña (A),COLLECTIVE SAFETY,Road Safety,2011,2292
Coruña (A),COLLECTIVE SAFETY,Road Safety,2010,1631
Coruña (A),COLLECTIVE SAFETY,Road Safety,2021,1730
Cuenca,COLLECTIVE SAFETY,Road Safety,2022,309
Cuenca,COLLECTIVE SAFETY,Road Safety,2020,220
Cuenca,COLLECTIVE SAFETY,Road Safety,2019,248
Cuenca,COLLECTIVE SAFETY,Road Safety,2018,219
Cuenca,COLLECTIVE SAFETY,Road Safety,2017,238
Cuenca,COLLECTIVE SAFETY,Road Safety,2016,258
Cuenca,COLLECTIVE SAFETY,Road Safety,2015,249
Cuenca,COLLECTIVE SAFETY,Road Safety,2014,276
Cuenca,COLLECTIVE SAFETY,Road Safety,2013,314
Cuenca,COLLECTIVE SAFETY,Road Safety,2012,350
Cuenca,COLLECTIVE SAFETY,Road Safety,2011,442
Cuenca,COLLECTIVE SAFETY,Road Safety,2010,354
Cuenca,COLLECTIVE SAFETY,Road Safety,2021,286
Desconocida,COLLECTIVE SAFETY,Road Safety,2022,0
Desconocida,COLLECTIVE SAFETY,Road Safety,2020,0
Desconocida,COLLECTIVE SAFETY,Road Safety,2019,0
Desconocida,COLLECTIVE SAFETY,Road Safety,2018,0
Desconocida,COLLECTIVE SAFETY,Road Safety,2017,0
Desconocida,COLLECTIVE SAFETY,Road Safety,2016,0
Desconocida,COLLECTIVE SAFETY,Road Safety,2015,0
Desconocida,COLLECTIVE SAFETY,Road Safety,2014,0
Desconocida,COLLECTIVE SAFETY,Road Safety,2013,0
Desconocida,COLLECTIVE SAFETY,Road Safety,2012,0
Desconocida,COLLECTIVE SAFETY,Road Safety,2011,0
Desconocida,COLLECTIVE SAFETY,Road Safety,2010,0
Desconocida,COLLECTIVE SAFETY,Road Safety,2021,0
Abroad,COLLECTIVE SAFETY,Road Safety,2022,1
Abroad,COLLECTIVE SAFETY,Road Safety,2020,0
Abroad,COLLECTIVE SAFETY,Road Safety,2019,0
Abroad,COLLECTIVE SAFETY,Road Safety,2018,0
Abroad,COLLECTIVE SAFETY,Road Safety,2017,0
Abroad,COLLECTIVE SAFETY,Road Safety,2016,1
Abroad,COLLECTIVE SAFETY,Road Safety,2015,0
Abroad,COLLECTIVE SAFETY,Road Safety,2014,4
Abroad,COLLECTIVE SAFETY,Road Safety,2013,0
Abroad,COLLECTIVE SAFETY,Road Safety,2012,7
Abroad,COLLECTIVE SAFETY,Road Safety,2011,1
Abroad,COLLECTIVE SAFETY,Road Safety,2010,0
Abroad,COLLECTIVE SAFETY,Road Safety,2021,0
Gipuzkoa,COLLECTIVE SAFETY,Road Safety,2022,1209
Gipuzkoa,COLLECTIVE SAFETY,Road Safety,2020,814
Gipuzkoa,COLLECTIVE SAFETY,Road Safety,2019,973
Gipuzkoa,COLLECTIVE SAFETY,Road Safety,2018,876
Gipuzkoa,COLLECTIVE SAFETY,Road Safety,2017,829
Gipuzkoa,COLLECTIVE SAFETY,Road Safety,2016,918
Gipuzkoa,COLLECTIVE SAFETY,Road Safety,2015,933
Gipuzkoa,COLLECTIVE SAFETY,Road Safety,2014,1071
Gipuzkoa,COLLECTIVE SAFETY,Road Safety,2013,1063
Gipuzkoa,COLLECTIVE SAFETY,Road Safety,2012,1301
Gipuzkoa,COLLECTIVE SAFETY,Road Safety,2011,1513
Gipuzkoa,COLLECTIVE SAFETY,Road Safety,2010,1338
Gipuzkoa,COLLECTIVE SAFETY,Road Safety,2021,981
Girona,COLLECTIVE SAFETY,Road Safety,2022,1664
Girona,COLLECTIVE SAFETY,Road Safety,2020,877
Girona,COLLECTIVE SAFETY,Road Safety,2019,1168
Girona,COLLECTIVE SAFETY,Road Safety,2018,1192
Girona,COLLECTIVE SAFETY,Road Safety,2017,1227
Girona,COLLECTIVE SAFETY,Road Safety,2016,1250
Girona,COLLECTIVE SAFETY,Road Safety,2015,1190
Girona,COLLECTIVE SAFETY,Road Safety,2014,1171
Girona,COLLECTIVE SAFETY,Road Safety,2013,1106
Girona,COLLECTIVE SAFETY,Road Safety,2012,1103
Girona,COLLECTIVE SAFETY,Road Safety,2011,1670
Girona,COLLECTIVE SAFETY,Road Safety,2010,1439
Girona,COLLECTIVE SAFETY,Road Safety,2021,1270
Granada,COLLECTIVE SAFETY,Road Safety,2022,1392
Granada,COLLECTIVE SAFETY,Road Safety,2020,1285
Granada,COLLECTIVE SAFETY,Road Safety,2019,1220
Granada,COLLECTIVE SAFETY,Road Safety,2018,1131
Granada,COLLECTIVE SAFETY,Road Safety,2017,1092
Granada,COLLECTIVE SAFETY,Road Safety,2016,1097
Granada,COLLECTIVE SAFETY,Road Safety,2015,1122
Granada,COLLECTIVE SAFETY,Road Safety,2014,1320
Granada,COLLECTIVE SAFETY,Road Safety,2013,1420
Granada,COLLECTIVE SAFETY,Road Safety,2012,1596
Granada,COLLECTIVE SAFETY,Road Safety,2011,1838
Granada,COLLECTIVE SAFETY,Road Safety,2010,1448
Granada,COLLECTIVE SAFETY,Road Safety,2021,1377
Guadalajara,COLLECTIVE SAFETY,Road Safety,2022,415
Guadalajara,COLLECTIVE SAFETY,Road Safety,2020,327
Guadalajara,COLLECTIVE SAFETY,Road Safety,2019,382
Guadalajara,COLLECTIVE SAFETY,Road Safety,2018,302
Guadalajara,COLLECTIVE SAFETY,Road Safety,2017,234
Guadalajara,COLLECTIVE SAFETY,Road Safety,2016,263
Guadalajara,COLLECTIVE SAFETY,Road Safety,2015,191
Guadalajara,COLLECTIVE SAFETY,Road Safety,2014,299
Guadalajara,COLLECTIVE SAFETY,Road Safety,2013,340
Guadalajara,COLLECTIVE SAFETY,Road Safety,2012,419
Guadalajara,COLLECTIVE SAFETY,Road Safety,2011,517
Guadalajara,COLLECTIVE SAFETY,Road Safety,2010,455
Guadalajara,COLLECTIVE SAFETY,Road Safety,2021,335
Huelva,COLLECTIVE SAFETY,Road Safety,2022,967
Huelva,COLLECTIVE SAFETY,Road Safety,2020,775
Huelva,COLLECTIVE SAFETY,Road Safety,2019,864
Huelva,COLLECTIVE SAFETY,Road Safety,2018,806
Huelva,COLLECTIVE SAFETY,Road Safety,2017,748
Huelva,COLLECTIVE SAFETY,Road Safety,2016,668
Huelva,COLLECTIVE SAFETY,Road Safety,2015,795
Huelva,COLLECTIVE SAFETY,Road Safety,2014,894
Huelva,COLLECTIVE SAFETY,Road Safety,2013,943
Huelva,COLLECTIVE SAFETY,Road Safety,2012,1145
Huelva,COLLECTIVE SAFETY,Road Safety,2011,1151
Huelva,COLLECTIVE SAFETY,Road Safety,2010,894
Huelva,COLLECTIVE SAFETY,Road Safety,2021,758
Huesca,COLLECTIVE SAFETY,Road Safety,2022,340
Huesca,COLLECTIVE SAFETY,Road Safety,2020,243
Huesca,COLLECTIVE SAFETY,Road Safety,2019,282
Huesca,COLLECTIVE SAFETY,Road Safety,2018,239
Huesca,COLLECTIVE SAFETY,Road Safety,2017,193
Huesca,COLLECTIVE SAFETY,Road Safety,2016,196
Huesca,COLLECTIVE SAFETY,Road Safety,2015,156
Huesca,COLLECTIVE SAFETY,Road Safety,2014,211
Huesca,COLLECTIVE SAFETY,Road Safety,2013,191
Huesca,COLLECTIVE SAFETY,Road Safety,2012,276
Huesca,COLLECTIVE SAFETY,Road Safety,2011,277
Huesca,COLLECTIVE SAFETY,Road Safety,2010,249
Huesca,COLLECTIVE SAFETY,Road Safety,2021,273
Jaén,COLLECTIVE SAFETY,Road Safety,2022,507
Jaén,COLLECTIVE SAFETY,Road Safety,2020,417
Jaén,COLLECTIVE SAFETY,Road Safety,2019,476
Jaén,COLLECTIVE SAFETY,Road Safety,2018,440
Jaén,COLLECTIVE SAFETY,Road Safety,2017,389
Jaén,COLLECTIVE SAFETY,Road Safety,2016,340
Jaén,COLLECTIVE SAFETY,Road Safety,2015,459
Jaén,COLLECTIVE SAFETY,Road Safety,2014,475
Jaén,COLLECTIVE SAFETY,Road Safety,2013,484
Jaén,COLLECTIVE SAFETY,Road Safety,2012,514
Jaén,COLLECTIVE SAFETY,Road Safety,2011,551
Jaén,COLLECTIVE SAFETY,Road Safety,2010,484
Jaén,COLLECTIVE SAFETY,Road Safety,2021,392
León,COLLECTIVE SAFETY,Road Safety,2022,522
León,COLLECTIVE SAFETY,Road Safety,2020,391
León,COLLECTIVE SAFETY,Road Safety,2019,495
León,COLLECTIVE SAFETY,Road Safety,2018,438
León,COLLECTIVE SAFETY,Road Safety,2017,390
León,COLLECTIVE SAFETY,Road Safety,2016,366
León,COLLECTIVE SAFETY,Road Safety,2015,462
León,COLLECTIVE SAFETY,Road Safety,2014,530
León,COLLECTIVE SAFETY,Road Safety,2013,531
León,COLLECTIVE SAFETY,Road Safety,2012,616
León,COLLECTIVE SAFETY,Road Safety,2011,644
León,COLLECTIVE SAFETY,Road Safety,2010,588
León,COLLECTIVE SAFETY,Road Safety,2021,492
Lleida,COLLECTIVE SAFETY,Road Safety,2022,758
Lleida,COLLECTIVE SAFETY,Road Safety,2020,407
Lleida,COLLECTIVE SAFETY,Road Safety,2019,589
Lleida,COLLECTIVE SAFETY,Road Safety,2018,621
Lleida,COLLECTIVE SAFETY,Road Safety,2017,534
Lleida,COLLECTIVE SAFETY,Road Safety,2016,533
Lleida,COLLECTIVE SAFETY,Road Safety,2015,595
Lleida,COLLECTIVE SAFETY,Road Safety,2014,509
Lleida,COLLECTIVE SAFETY,Road Safety,2013,570
Lleida,COLLECTIVE SAFETY,Road Safety,2012,541
Lleida,COLLECTIVE SAFETY,Road Safety,2011,871
Lleida,COLLECTIVE SAFETY,Road Safety,2010,899
Lleida,COLLECTIVE SAFETY,Road Safety,2021,670
Lugo,COLLECTIVE SAFETY,Road Safety,2022,456
Lugo,COLLECTIVE SAFETY,Road Safety,2020,363
Lugo,COLLECTIVE SAFETY,Road Safety,2019,391
Lugo,COLLECTIVE SAFETY,Road Safety,2018,417
Lugo,COLLECTIVE SAFETY,Road Safety,2017,396
Lugo,COLLECTIVE SAFETY,Road Safety,2016,397
Lugo,COLLECTIVE SAFETY,Road Safety,2015,367
Lugo,COLLECTIVE SAFETY,Road Safety,2014,446
Lugo,COLLECTIVE SAFETY,Road Safety,2013,474
Lugo,COLLECTIVE SAFETY,Road Safety,2012,643
Lugo,COLLECTIVE SAFETY,Road Safety,2011,770
Lugo,COLLECTIVE SAFETY,Road Safety,2010,594
Lugo,COLLECTIVE SAFETY,Road Safety,2021,461
Madrid,COLLECTIVE SAFETY,Road Safety,2022,5425
Madrid,COLLECTIVE SAFETY,Road Safety,2020,4270
Madrid,COLLECTIVE SAFETY,Road Safety,2019,4873
Madrid,COLLECTIVE SAFETY,Road Safety,2018,4278
Madrid,COLLECTIVE SAFETY,Road Safety,2017,3966
Madrid,COLLECTIVE SAFETY,Road Safety,2016,4227
Madrid,COLLECTIVE SAFETY,Road Safety,2015,4373
Madrid,COLLECTIVE SAFETY,Road Safety,2014,5207
Madrid,COLLECTIVE SAFETY,Road Safety,2013,5688
Madrid,COLLECTIVE SAFETY,Road Safety,2012,5448
Madrid,COLLECTIVE SAFETY,Road Safety,2011,4976
Madrid,COLLECTIVE SAFETY,Road Safety,2010,4473
Madrid,COLLECTIVE SAFETY,Road Safety,2021,4759
Málaga,COLLECTIVE SAFETY,Road Safety,2022,2062
Málaga,COLLECTIVE SAFETY,Road Safety,2020,1683
Málaga,COLLECTIVE SAFETY,Road Safety,2019,1964
Málaga,COLLECTIVE SAFETY,Road Safety,2018,1868
Málaga,COLLECTIVE SAFETY,Road Safety,2017,1799
Málaga,COLLECTIVE SAFETY,Road Safety,2016,2066
Málaga,COLLECTIVE SAFETY,Road Safety,2015,1927
Málaga,COLLECTIVE SAFETY,Road Safety,2014,2216
Málaga,COLLECTIVE SAFETY,Road Safety,2013,2512
Málaga,COLLECTIVE SAFETY,Road Safety,2012,2767
Málaga,COLLECTIVE SAFETY,Road Safety,2011,2924
Málaga,COLLECTIVE SAFETY,Road Safety,2010,2067
Málaga,COLLECTIVE SAFETY,Road Safety,2021,2024
Melilla,COLLECTIVE SAFETY,Road Safety,2022,232
Melilla,COLLECTIVE SAFETY,Road Safety,2020,180
Melilla,COLLECTIVE SAFETY,Road Safety,2019,254
Melilla,COLLECTIVE SAFETY,Road Safety,2018,232
Melilla,COLLECTIVE SAFETY,Road Safety,2017,116
Melilla,COLLECTIVE SAFETY,Road Safety,2016,105
Melilla,COLLECTIVE SAFETY,Road Safety,2015,124
Melilla,COLLECTIVE SAFETY,Road Safety,2014,134
Melilla,COLLECTIVE SAFETY,Road Safety,2013,158
Melilla,COLLECTIVE SAFETY,Road Safety,2012,132
Melilla,COLLECTIVE SAFETY,Road Safety,2011,137
Melilla,COLLECTIVE SAFETY,Road Safety,2010,121
